date,symbol,open,high,low,close,volume,volume USD
2018-08-12,XRPUSD,0.2953,0.2953,0.2953,0.2953,0.0,0.0
2018-08-11,XRPUSD,0.3187,0.321,0.288,0.2953,10935080.6,3303548.7
2018-08-10,XRPUSD,0.3442,0.347,0.312,0.3187,15631427.65,5142414.65
2018-08-09,XRPUSD,0.3317,0.3582,0.3282,0.3442,14995785.62,5149861.52
2018-08-08,XRPUSD,0.3778,0.3787,0.32,0.3317,31649730.77,10873680.42
2018-08-07,XRPUSD,0.4128,0.415,0.375,0.3778,15086014.98,5957347.84
2018-08-06,XRPUSD,0.4345,0.4375,0.4032,0.4128,9024800.63,3807104.21
2018-08-05,XRPUSD,0.4293,0.4375,0.4267,0.4345,3343743.11,1441851.25
2018-08-04,XRPUSD,0.44,0.445,0.4267,0.4293,2339509.35,1015588.47
2018-08-03,XRPUSD,0.4309,0.4464,0.4249,0.44,9339254.42,4092368.71
2018-08-02,XRPUSD,0.4462,0.4484,0.4295,0.4309,5028943.33,2195107.16
2018-08-01,XRPUSD,0.435,0.4626,0.427,0.4462,7854203.92,3477375.0
2018-07-31,XRPUSD,0.445,0.4465,0.427,0.435,6195176.73,2691786.25
2018-07-30,XRPUSD,0.4526,0.4565,0.4345,0.445,5104430.01,2279210.05
2018-07-29,XRPUSD,0.458,0.4584,0.4492,0.4526,1943777.57,879771.39
2018-07-28,XRPUSD,0.4543,0.458,0.4482,0.458,2192934.83,994453.81
2018-07-27,XRPUSD,0.4493,0.46,0.4439,0.4543,4988494.14,2261857.69
2018-07-26,XRPUSD,0.4589,0.469,0.446,0.4493,5255041.32,2411923.34
2018-07-25,XRPUSD,0.4567,0.4687,0.44,0.4589,15399426.11,7066314.34
2018-07-24,XRPUSD,0.4445,0.4685,0.4367,0.4567,16778463.01,7632081.81
2018-07-23,XRPUSD,0.4485,0.4637,0.4419,0.4445,7300863.08,3294978.66
2018-07-22,XRPUSD,0.4549,0.4635,0.4459,0.4485,4562002.17,2073955.05
2018-07-21,XRPUSD,0.4455,0.459,0.435,0.4549,3534470.5,1595051.28
2018-07-20,XRPUSD,0.4771,0.4775,0.43,0.4455,13942998.42,6315981.95
2018-07-19,XRPUSD,0.4894,0.4961,0.4708,0.4771,6453236.46,3111156.67
2018-07-18,XRPUSD,0.506,0.5234,0.476,0.4894,13990981.43,7037395.17
2018-07-17,XRPUSD,0.4826,0.5198,0.4695,0.506,17424962.17,8655167.09
2018-07-16,XRPUSD,0.4466,0.484,0.4434,0.4826,11633249.21,5407201.11
2018-07-15,XRPUSD,0.4383,0.4496,0.4354,0.4466,3805268.79,1692788.23
2018-07-14,XRPUSD,0.4368,0.4428,0.4323,0.4383,3346990.34,1463904.19
2018-07-13,XRPUSD,0.438,0.446,0.429,0.4368,7945752.58,3497588.64
2018-07-12,XRPUSD,0.4487,0.4492,0.4248,0.438,6883073.67,2996328.95
2018-07-11,XRPUSD,0.442,0.4509,0.4406,0.4487,5949598.91,2657713.68
2018-07-10,XRPUSD,0.4728,0.473,0.4393,0.442,11752256.79,5313297.04
2018-07-09,XRPUSD,0.4777,0.4821,0.4706,0.4728,5643791.79,2688973.04
2018-07-08,XRPUSD,0.4852,0.4884,0.4745,0.4777,8187555.61,3957135.51
2018-07-07,XRPUSD,0.4757,0.4867,0.464,0.4852,4336515.03,2055323.48
2018-07-06,XRPUSD,0.477,0.4812,0.4594,0.4757,6805026.86,3204281.11
2018-07-05,XRPUSD,0.4913,0.5024,0.468,0.477,8636077.23,4166224.88
2018-07-04,XRPUSD,0.4846,0.506,0.4743,0.4913,8424820.89,4128311.81
2018-07-03,XRPUSD,0.489,0.5198,0.4769,0.4846,14776114.61,7341237.91
2018-07-02,XRPUSD,0.4622,0.4956,0.453,0.489,10836634.94,5181244.97
2018-07-01,XRPUSD,0.469,0.4698,0.45,0.4622,4481721.55,2053571.47
2018-06-30,XRPUSD,0.4537,0.4821,0.4537,0.469,10465860.33,4894010.38
2018-06-29,XRPUSD,0.4461,0.4607,0.4242,0.4537,15098160.46,6632658.58
2018-06-28,XRPUSD,0.4709,0.4735,0.4431,0.4461,8471897.36,3860188.03
2018-06-27,XRPUSD,0.4529,0.476,0.4483,0.4709,8084920.49,3741474.85
2018-06-26,XRPUSD,0.4802,0.4828,0.4512,0.4529,10703251.52,5052568.02
2018-06-25,XRPUSD,0.4743,0.4948,0.4719,0.4802,11225389.49,5392768.26
2018-06-24,XRPUSD,0.4922,0.496,0.4404,0.4743,22420471.81,10423016.59
2018-06-23,XRPUSD,0.4829,0.4962,0.478,0.4922,5618138.28,2740019.67
2018-06-22,XRPUSD,0.534,0.5355,0.47,0.4829,26000137.76,12993758.92
2018-06-21,XRPUSD,0.54,0.549,0.5304,0.534,6065308.26,3265172.15
2018-06-20,XRPUSD,0.5491,0.5497,0.5241,0.54,6682258.68,3580954.63
2018-06-19,XRPUSD,0.539,0.5625,0.5348,0.5491,9461869.92,5162951.06
2018-06-18,XRPUSD,0.5268,0.55,0.51,0.539,11365784.89,6033331.12
2018-06-17,XRPUSD,0.5324,0.5403,0.5218,0.5268,4917723.73,2619521.08
2018-06-16,XRPUSD,0.5334,0.539,0.519,0.5324,5385834.13,2852750.74
2018-06-15,XRPUSD,0.5579,0.5595,0.5272,0.5334,8275435.42,4512344.49
2018-06-14,XRPUSD,0.5307,0.5693,0.52,0.5579,14300823.27,7832812.85
2018-06-13,XRPUSD,0.5566,0.561,0.5044,0.5307,17671159.23,9328691.85
2018-06-12,XRPUSD,0.599,0.5997,0.5445,0.5566,12456107.19,7109547.84
2018-06-11,XRPUSD,0.5827,0.603,0.5617,0.599,12307384.93,7128650.56
2018-06-10,XRPUSD,0.6571,0.6573,0.555,0.5827,22726448.12,13698905.49
2018-06-09,XRPUSD,0.6725,0.68,0.656,0.6571,2588162.02,1732271.4
2018-06-08,XRPUSD,0.6769,0.68,0.6571,0.6725,4815056.39,3220449.41
2018-06-07,XRPUSD,0.6721,0.6869,0.67,0.6769,5064092.29,3441893.38
2018-06-06,XRPUSD,0.6745,0.6817,0.655,0.6721,8133367.14,5442043.98
2018-06-05,XRPUSD,0.6552,0.6855,0.6331,0.6745,13470284.72,8922950.94
2018-06-04,XRPUSD,0.689,0.7029,0.634,0.6552,17644546.98,11654639.02
2018-06-03,XRPUSD,0.6429,0.689,0.637,0.689,9992662.53,6590482.7
2018-06-02,XRPUSD,0.6191,0.6505,0.614,0.6429,12059676.53,7706168.55
2018-06-01,XRPUSD,0.6112,0.6246,0.6052,0.6191,8066204.18,4932453.32
2018-05-31,XRPUSD,0.6,0.621,0.589,0.6112,8799899.54,5383039.46
2018-05-30,XRPUSD,0.5999,0.626,0.583,0.6,10796412.66,6487822.87
2018-05-29,XRPUSD,0.5487,0.609,0.545,0.5999,15451893.56,8959468.76
2018-05-28,XRPUSD,0.6039,0.6087,0.5467,0.5487,14632526.8,8405733.48
2018-05-27,XRPUSD,0.6085,0.6129,0.5981,0.6039,4887917.6,2951603.72
2018-05-26,XRPUSD,0.6053,0.6282,0.5974,0.6085,4294331.87,2641524.32
2018-05-25,XRPUSD,0.63,0.635,0.595,0.6053,13895879.91,8447681.75
2018-05-24,XRPUSD,0.5931,0.639,0.579,0.63,17515258.12,10692501.88
2018-05-23,XRPUSD,0.6387,0.645,0.5745,0.5931,33120459.84,20088889.24
2018-05-22,XRPUSD,0.6762,0.6792,0.6354,0.6387,9958221.03,6567919.87
2018-05-21,XRPUSD,0.6977,0.7015,0.6698,0.6762,7172095.32,4894739.49
2018-05-20,XRPUSD,0.6747,0.7066,0.6689,0.6977,5661174.1,3917116.86
2018-05-19,XRPUSD,0.676,0.6914,0.661,0.6747,4533544.56,3060419.6
2018-05-18,XRPUSD,0.6585,0.6837,0.6471,0.676,13669789.67,9114706.31
2018-05-17,XRPUSD,0.707,0.7136,0.651,0.6585,10974160.04,7518425.47
