timestamp,date,symbol,open,high,low,close,volume
1533355200000,2018-08-04 04:00:00,ZECUSD,188.04,189.99,171.45,174.99,1214.74443503
1533268800000,2018-08-03 04:00:00,ZECUSD,198.42,198.42,187.01,188.04,79.82276796
1533182400000,2018-08-02 04:00:00,ZECUSD,198.42,198.42,180.78,184.03,729.48042087
1533096000000,2018-08-01 04:00:00,ZECUSD,201.11,206.3,193.31,198.42,1552.83689978
1533009600000,2018-07-31 04:00:00,ZECUSD,211.74,212.33,196.0,201.11,5199.28309208
1532923200000,2018-07-30 04:00:00,ZECUSD,215.87,219.93,201.1,211.74,2552.77985418
1532836800000,2018-07-29 04:00:00,ZECUSD,223.5,223.5,214.34,215.87,1874.55449487
1532750400000,2018-07-28 04:00:00,ZECUSD,222.0,228.98,216.39,223.5,2991.99266521
1532664000000,2018-07-27 04:00:00,ZECUSD,218.03,218.03,218.03,218.03,0.0
1532577600000,2018-07-26 04:00:00,ZECUSD,223.87,228.76,216.0,218.03,5004.94625541
1532491200000,2018-07-25 04:00:00,ZECUSD,218.37,228.75,210.22,223.87,3494.92023579
1532404800000,2018-07-24 04:00:00,ZECUSD,191.19,225.81,190.77,218.37,6853.92523359
1532318400000,2018-07-23 04:00:00,ZECUSD,194.61,207.9,188.33,191.19,4174.84385077
1532232000000,2018-07-22 04:00:00,ZECUSD,188.08,199.99,180.92,194.61,1440.85588259
1532145600000,2018-07-21 04:00:00,ZECUSD,183.13,193.91,180.86,188.08,550.34650648
1532059200000,2018-07-20 04:00:00,ZECUSD,197.03,198.45,176.58,183.13,3799.31225385
1531972800000,2018-07-19 04:00:00,ZECUSD,207.74,214.19,196.12,197.03,1474.12530273
1531886400000,2018-07-18 04:00:00,ZECUSD,223.09,224.73,200.01,207.74,3327.43301355
1531800000000,2018-07-17 04:00:00,ZECUSD,185.35,228.0,181.05,223.09,11775.01904515
1531713600000,2018-07-16 04:00:00,ZECUSD,173.77,190.0,171.0,185.35,3470.72098642
1531627200000,2018-07-15 04:00:00,ZECUSD,173.16,178.8,173.09,173.77,912.87722642
1531540800000,2018-07-14 04:00:00,ZECUSD,170.76,179.84,170.64,173.16,520.33801379
1531454400000,2018-07-13 04:00:00,ZECUSD,155.23,155.23,155.23,155.23,0.0
1531368000000,2018-07-12 04:00:00,ZECUSD,156.5,156.5,150.0,155.23,601.4475572
1531281600000,2018-07-11 04:00:00,ZECUSD,159.4,160.88,155.0,156.5,2538.78511527
1531195200000,2018-07-10 04:00:00,ZECUSD,166.47,166.62,156.1,159.4,1812.9952019
1531108800000,2018-07-09 04:00:00,ZECUSD,173.28,173.28,166.0,166.47,855.88318542
1531022400000,2018-07-08 04:00:00,ZECUSD,174.12,177.04,172.24,173.28,319.00593653
1530936000000,2018-07-07 04:00:00,ZECUSD,173.95,176.08,168.8,174.12,959.62331279
1530849600000,2018-07-06 04:00:00,ZECUSD,177.4,177.4,172.0,173.95,11.82461738
1530763200000,2018-07-05 04:00:00,ZECUSD,183.12,183.71,172.49,177.4,769.47696694
1530676800000,2018-07-04 04:00:00,ZECUSD,176.49,187.0,176.21,183.12,696.99547449
1530590400000,2018-07-03 04:00:00,ZECUSD,192.0,193.59,175.0,176.49,1331.9307085
1530504000000,2018-07-02 04:00:00,ZECUSD,169.0,196.67,165.1,192.0,3496.08685638
1530417600000,2018-07-01 04:00:00,ZECUSD,169.9,173.0,167.79,169.0,332.29906779
1530331200000,2018-06-30 04:00:00,ZECUSD,167.21,176.0,167.21,169.9,983.50342436
1530244800000,2018-06-29 04:00:00,ZECUSD,153.36,172.37,150.53,167.21,1676.80408172
1530158400000,2018-06-28 04:00:00,ZECUSD,161.17,164.64,152.32,153.36,1589.99606571
1530072000000,2018-06-27 04:00:00,ZECUSD,160.01,169.17,157.19,161.17,1110.10955506
1529985600000,2018-06-26 04:00:00,ZECUSD,175.68,177.38,158.62,160.01,2172.82139477
1529899200000,2018-06-25 04:00:00,ZECUSD,165.31,180.65,163.75,175.68,2438.9263898
1529812800000,2018-06-24 04:00:00,ZECUSD,167.0,167.92,153.52,165.31,1773.17839873
1529726400000,2018-06-23 04:00:00,ZECUSD,166.93,181.72,165.28,167.0,884.43618627
1529640000000,2018-06-22 04:00:00,ZECUSD,185.95,186.0,161.34,166.93,1794.50051227
1529553600000,2018-06-21 04:00:00,ZECUSD,197.66,197.66,182.25,185.95,1124.41987393
1529467200000,2018-06-20 04:00:00,ZECUSD,192.76,197.66,190.01,197.66,1874.0968229
1529380800000,2018-06-19 04:00:00,ZECUSD,194.48,200.0,192.76,192.76,2329.05309569
1529294400000,2018-06-18 04:00:00,ZECUSD,183.02,205.0,182.25,194.48,1255.51728811
1529208000000,2018-06-17 04:00:00,ZECUSD,191.2,191.2,183.02,183.02,456.29317545
1529121600000,2018-06-16 04:00:00,ZECUSD,189.25,192.15,185.69,191.2,210.63343444
1529035200000,2018-06-15 04:00:00,ZECUSD,193.31,201.02,189.25,189.25,1446.50489599
1528948800000,2018-06-14 04:00:00,ZECUSD,191.8,202.18,187.93,193.31,2096.47752682
